test_type,depth,num_leaves,bitsize,field,func,avg_time,avg_max_bits,total_bits_processed,result,expected,correct,trial_tree,trial_run,leaf_values
logn_loglogn,4,16,2,GF(32),and,195.6105992794037,6,19174747,0,0,True,8,0,"[3, 0, 1, 1, 3, 3, 1, 3, 1, 1, 1, 0, 0, 3, 1, 0]"
baseline_plain,4,16,2,GF(32),and,1.9550323486328125e-05,5,25,0,0,True,9,0,"[0, 0, 3, 3, 1, 2, 1, 3, 3, 2, 3, 3, 3, 3, 3, 1]"
logn_loglogn,4,16,2,GF(32),and,192.56704211235046,6,19174747,0,0,True,9,0,"[0, 0, 3, 3, 1, 2, 1, 3, 3, 2, 3, 3, 3, 3, 3, 1]"
baseline_plain,2,4,3,GF(32),xor,7.152557373046875e-06,8,11,4,4,True,0,0,"[5, 5, 6, 2]"
logn_loglogn,2,4,3,GF(32),xor,0.0213010311126709,9,1870,4,4,True,0,0,"[5, 5, 6, 2]"
baseline_plain,2,4,3,GF(32),xor,7.867813110351562e-06,8,18,6,6,True,1,0,"[4, 2, 2, 2]"
logn_loglogn,2,4,3,GF(32),xor,0.02041172981262207,9,1870,6,6,True,1,0,"[4, 2, 2, 2]"
baseline_plain,2,4,3,GF(32),xor,7.867813110351562e-06,8,12,6,6,True,2,0,"[3, 2, 2, 5]"
logn_loglogn,2,4,3,GF(32),xor,0.020138978958129883,9,1870,6,6,True,2,0,"[3, 2, 2, 5]"
baseline_plain,2,4,3,GF(32),xor,7.152557373046875e-06,8,20,6,6,True,3,0,"[3, 5, 5, 5]"
logn_loglogn,2,4,3,GF(32),xor,0.020407438278198242,9,1870,6,6,True,3,0,"[3, 5, 5, 5]"
baseline_plain,2,4,3,GF(32),xor,7.3909759521484375e-06,5,7,5,5,True,4,0,"[1, 0, 4, 0]"
logn_loglogn,2,4,3,GF(32),xor,0.019728422164916992,9,1870,5,5,True,4,0,"[1, 0, 4, 0]"
baseline_plain,2,4,3,GF(32),xor,7.3909759521484375e-06,8,12,5,5,True,5,0,"[0, 2, 1, 6]"
logn_loglogn,2,4,3,GF(32),xor,0.0202939510345459,9,1870,5,5,True,5,0,"[0, 2, 1, 6]"
baseline_plain,2,4,3,GF(32),xor,7.152557373046875e-06,5,11,1,1,True,6,0,"[1, 2, 0, 2]"
logn_loglogn,2,4,3,GF(32),xor,0.02003002166748047,9,1870,1,1,True,6,0,"[1, 2, 0, 2]"
baseline_plain,2,4,3,GF(32),xor,7.152557373046875e-06,8,20,4,4,True,7,0,"[7, 3, 7, 7]"
logn_loglogn,2,4,3,GF(32),xor,0.018667936325073242,9,1870,4,4,True,7,0,"[7, 3, 7, 7]"
baseline_plain,2,4,3,GF(32),xor,7.3909759521484375e-06,10,18,4,4,True,8,0,"[6, 2, 3, 3]"
logn_loglogn,2,4,3,GF(32),xor,0.020509958267211914,9,1870,4,4,True,8,0,"[6, 2, 3, 3]"
baseline_plain,2,4,3,GF(32),xor,7.152557373046875e-06,14,20,6,6,True,9,0,"[2, 7, 5, 6]"
logn_loglogn,2,4,3,GF(32),xor,0.019582748413085938,9,1870,6,6,True,9,0,"[2, 7, 5, 6]"
baseline_plain,3,8,3,GF(32),xor,1.049041748046875e-05,14,38,7,7,True,0,0,"[0, 6, 4, 7, 7, 2, 0, 7]"
logn_loglogn,3,8,3,GF(32),xor,2.3190176486968994,9,231890,7,7,True,0,0,"[0, 6, 4, 7, 7, 2, 0, 7]"
baseline_plain,3,8,3,GF(32),xor,1.5497207641601562e-05,12,37,7,7,True,1,0,"[3, 7, 1, 7, 6, 3, 1, 1]"
logn_loglogn,3,8,3,GF(32),xor,2.2994678020477295,9,231890,7,7,True,1,0,"[3, 7, 1, 7, 6, 3, 1, 1]"
baseline_plain,3,8,3,GF(32),xor,1.1682510375976562e-05,13,31,1,1,True,2,0,"[5, 7, 3, 3, 3, 2, 3, 1]"
